Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
5;1;ESCOLA MUNICIPAL;304;JARDIM UCHOA;26158280.0;PALMARES;211;850;AREIAS;404,7;271;15;12;SIM;11/12/2017;NÃO;SIM;NÃO;SIM;FLAVIA REGINA GUERRA CAMARA;-34.936;-8.0948;Sudeste
5;1;ESCOLA MUNICIPAL;101;MANOEL ROLIM;26134057.0;PAJUSSARA;57;892;TEJIPIO;154,5;105;9;8;NÂO;02/04/2018;NÃO;NÃO;NÃO;SIM;VALDETE DE OLIVEIRA MENEZES;-34.948;-8.0878;Sudeste
5;1;ESCOLA MUNICIPAL;941;MANOEL ROLIM - ANEXO I;26134057.0;PAJUSSARA;60;868;JARDIM SAO PAULO;154,5;93;8;8;NÂO;02/04/2018;NÃO;NÃO;NÃO;SIM;;-34.948;-8.0878;Sudeste
5;1;ESCOLA MUNICIPAL;136;MARECHAL RONDON;26123630.0;;3305;892;TEJIPIO;;426;14;14;NÂO;;NÃO;NÃO;SIM;NÃO;ANDREA CRISTINA DA SILVA COSTA;;;Sudeste
5;1;ESCOLA MUNICIPAL;98;PADRE JOSE DE ANCHIETA;26119331.0;CAPITAO ADOLFO TAQUIS;S/N;787;MUSTARDINHA;850,2;535;22;20;SIM;05/07/2017;NÃO;SIM;SIM;SIM;SANDRA COSTA SOUZA;-34.917;-8.0733;Sudeste
5;1;ESCOLA MUNICIPAL;72;PADRE JOSE MATHIAS DELGADO;26120780.0;DOUTOR DEVALDO BORGES;S/N;868;JARDIM SAO PAULO;826,5;443;21;16;NÂO;;SIM;NÃO;NÃO;SIM;MARIA HELENA SIQUEIRA JACOBINE;-34.94;-8.079;Sudeste
5;1;ESCOLA MUNICIPAL;354;PARQUE DOS MILAGRES;26164701.0;CANTOR LEANDRO;S/N;876;BARRO;357,1;209;10;6;NÂO;;NÃO;NÃO;NÃO;NÃO;ADRIANA DOS SANTOS MOURA;-34.949;-8.106;Sudeste
5;1;ESCOLA MUNICIPAL;419;PARQUE DOS MILAGRES - ANEXO II;26164701.0;CANTOR CAPIBA;30;876;BARRO;357,1;229;12;10;NÂO;;NÃO;NÃO;NÃO;NÃO;;-34.949;-8.1059;Sudeste
5;1;ESCOLA MUNICIPAL;972;POETA CARLOS PENA FILHO;26170795.0;ITAMONTE;461;868;JARDIM SAO PAULO;850;279;15;13;NÂO;16/02/2017;NÃO;NÃO;SIM;SIM;MARIA LUCIA PORTO DE LUCENA;-34.955;-8.0809;Sudeste
5;1;ESCOLA MUNICIPAL;335;PROFESSOR ANTONIO DE BRITO ALVES;26153386.0;ERNESTO CAVALCANTI;41;787;MUSTARDINHA;1515;834;33;32;NÂO;05/07/2017;SIM;NÃO;SIM;SIM;VALERIA DA FONSECA SILVA;-34.918;-8.0738;Sudeste
